姓名,点赞数,评论内容
bili_39363653676,1,逆子！你和蝙蝠到底什么关系？	
不要牧师v,1,我想选择钉钉，学校却选择了学崩堵。我吐了。	
钉钉DlngTaik,1,我是个什么东西[doge]	
Actor_y,1,此生无悔入钉钉（	
我是鬼萌萌哒,1,哈哈哈哈哈哈笑死我  看你这么可爱 我最大的仁慈就是不去评价了 [tv_doge]	
防护巡洋舰,1,此生无悔入钉钉，分期付款五颗星！	
納豆菌,1,突然觉得好可怜！算了！五星一次付清	
野草路,1,叫爸爸还是不行，一星	
一两陈皮,1,昨天看的时候播放量29万多现在都379万多了[doge]	
Ku子动了不看了,1,这评论区真他niang的有排面	
阿伟阿哈,1,钉三多是燕子，和蝙蝠没内幕！	
许衍-,1,可怜的钉钉[妙啊]	
名字难取n,1,此生不悔入钉钉，分期付款给五星	
不吃饭吃盐,1,找人一起刷一星	
T-runks,1,搭嘎，扣头哇路	
梦醒犹记四月谎R,1,"已经开始了。光我能看到的，华为应用商店里和appstore里已经有善意5星的评论了[妙啊][妙啊]。
比如(没用过钉钉，但就是想给五星)
(致一星小学生)
(一星的人什么态度)
(不想学就滚回去喂猪)
的评论了。这波操作很到位。这五星更像是施舍，而不是发自内心的觉得软件好，恶意给一星确实睿智，(善意)给5星是真高尚嗷[妙啊][妙啊]	"
搜狗公司,1,hhhhhhh是真的惨啊	
守泠,1,虽然说讨厌上网课。。但因为这事儿去怪一个软件还恶意低星报复实属憨憨行为。	
孙笑川是条懒狗,1,我比你更惨[妙啊]	
KARLLUDWIG,1,钉钉说它是小画家 彩色铅笔一大把～～啊，错了，不是这个钉钉	
走啊走到你家楼下,1,我看见了一个点赞是粉丝数四倍的up，我挖到宝了？！	
95310610146_bili,1,钉钉下架了会再出一个叮叮的	
爱汐颜,1,下次一钉！！！	
暴风航海者德雷克,1,钉啊[doge]你也憋整啥直播了，干脆出道吧	
鱼丸粗面iiiiiii,1,今天天气不错，五星好评！[doge]	
鱼丸粗面iiiiiii,1,今天天气不错，五星好评！[doge]	
NftliG,1,爬[捂脸]	
达依勒-梅由珊,1,彳亍（	
丢了幸福的荷兰猪,1,虽然我不用 但是我还是三连了 这也太上头了	
婉月yu,1,下次一定	
这个人就是妈,1,令  人  作  呕	
愿你愿世界从此无忧,1,"其实都知道评分本身没多大用，毕竟下载量在那里。同时一切的收获都不是没代价的，你得到了下载量的好处，那么相应也应该承受一定的怒火。再说，也并不是所有的人，都是无缘无故的打差评的。就本身软件机制而言，无论是之前摄像头麦克风的问题，还是直播卡顿、反复打卡、双边延迟。这些问题都是应该解决的。现在的求饶也不过是一种营销手段罢了。还是那句话，有得必有失。无论是软件还是学生，求饶还是打一星。这样的做法都是为了争取自身的利益。学生被迫收获了体验感极差的寒假和教学，向学校高层建议没用，就只能打一星想办法把事情闹大（虽然也知道没用）钉钉被选中受了无妄之灾，就以求饶的方式，希望有人理解。感同身受也只能等发泄之后。在此之前只能找一点共同认可的看法。
比如说：这一切都是吃蝙蝠的那个某人搞出来的事，还让全国乃至全球的人受罪。
打这段话的时候有点暴躁，所以有点不知所云。但我只接受和谐的交流，谁敢喷我，我就锤爆他的狗头。&lt;(￣3￣)&gt;哼！	"
很普通的吉良吉影,1,★☆☆☆☆送给你的嗷	
_薇尔莉特--伊芙加登_,1,"想不出骚话整个活吧[doge]
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆[doge]	"
是彩虹味的锦鲤呢,1,你们都在玩钉钉，我就不一样了，我想搞智学网[tv_doge]	
千殇泪无痕,1,今天没下雨，差评！	
kris肉妹,1,哈啊哈哈哈哈啊哈终于让大家都体验到了上班族的心情	
美国航空局_NASA,1,我这就给你好评因为国外不用dingtalk	
花满城丶,1,太可爱啦哈哈哈哈哈哈哈	
Bilibili丶南北,1,对不起 我是学生	
四-白,1,官方鬼畜最为致命	
tallnew,1,钉钉表示：我一个办公软件，咋突然就变成全网黑了呢？	
谪丶,1,若不是一星我怎有机会结识在座的各位和听到美妙的歌曲[doge][doge][doge]	
池塘底下一朵瓜,1,看在我用学习通的份上，我可以打个五星好评给钉钉[滑稽]	
熊猫的小弟,1,"谢谢你，阿钉
之前只给你打了一次一星
谢谢你特地出视频提醒我要付清剩下的四次好评[热词系列_奥力给]	"
Kriegsspiel,1,epic运营？[doge]	
sweater0,1,安卓设备的就算了，人家不怕你，它怕的是appstore下架	
っ星空下的拥抱ぐ,1,一次付清阔以，开个防沉迷一天不多就一个半小时，不开，我零星评论[阴险][阴险]	
泰迪仔,1,专门下载了一次就为了能打个1星	
老魏厨子,1,知道了，这就去评论一星	
cmd3,1,搭嘎 口头哇路	
神原拓也,1,你下面这认证号怎么都这么可怜啊[吃瓜]	
一朵云云呀,1,"钉钉上课我没啥反驳的，反正我手机电脑都有两台[呲牙]
不过标注下缺点:不要自动开启摄像头！侵犯别人隐私了！
直播网络吃不起，好歹也是阿里旗下的软件啊！看个直播卡成啥样了？上个打赏功能，日榜第一免作业[doge][doge][doge]	"
涛儿---,1,下次一定	
柒染可可,1,"下次一釘
准給五星
不是分期
就是分心
[热词系列_知识增加]
奇怪的知識有增加了！	"
好恰のqb,1,哦，我的上帝，瞧瞧这可怜的人儿啊，是谁把你害的这么惨?如果让我知道了我一定饶不了他，我发誓我一定饶不了他！[妙啊]	
是醉漪呐,1,五星好评，所以你能不能试试劝劝学习通，让他学学你[害羞]	
祁俞不是其余,1,不。。。其实我们已经用修改器，研究出了一颗星都不给你的方法(′?_?`)	
大大大大黑酱,1,【钉 钉 本 钉，被 迫 营 业】	
陈生死离别之苦,1,好惨一钉钉，无限宝什么时候有这b数，哦，我没用无限宝啊，那没事了（班级让用，我觉得⑧行，自己去作业帮了[吃瓜]）	
口罩_口罩,1,在？装个防沉迷	
慢热玩家s,1,太可爱了吧，不得不说这情商是真的高[妙啊][妙啊]	
陨石坑中丶憨憨笑,1,看完视频的我，在一个夜黑风高的晚上。来到自家地下室，取出珍藏版七纳米工艺刀将其擦得锋利无比。怒发冲冠飞奔到隔壁牙膏厂，削了厂长一刀。奈何厂长的仗着14纳米刀苦苦支撑。吾观其不肯投降，无奈只好将压箱底的绝招放出来的。风咧咧～吾口中低语～～～乡～～城～～撕～～裂～～者～～    终于厂长终于败下阵来～ 吾问其还敢不敢五星分期了？厂长答曰:五星奉上莫敢不从。吾问还&#34;下次一定&#34;否？厂长答曰:从此不一定。吾问还挤牙膏否？厂长答曰:挤挤更健康！！！为何不挤挤?                            气煞吾了 ！！！各路好汉你们说我该怎么办？	
芝果sang,1,"[呲牙]
[抱拳]    叫爸爸也8行	"
生菜熟了还叫生菜吗,1,我看见过一个用修改器给钉钉打0星的	
爱德华暴打老大哥,1,三联可以，五星免谈	
就叫白泽希吧,1,呜呜呜X﹏X我明白了，太感人了[大哭]，钉钉不是你的错[大哭]是那些拿你用来上课的老师的错[大哭][酸了]，（说完我反手给了个一星）噗，我开玩笑的啦，我没给一星，我给了一星半！看我对你多好啊[妙啊][热词系列_知识增加]，好吧 其实我给了五星[doge][滑稽]	
逃离世间炼狱,1,"我感觉你说这句话，你在，你在
无中生有
暗度陈仓
凭空想象
凭空捏造
无言无语
无可救药
逝者安息
一路走好
永无止境
没钱买药
头脑有病
嘴里流能
眼里有炮
污言秽语
咎由自取
殃及无辜
祸害众生[呲牙][呲牙][呲牙]	"
山水长清,1,无限宝...锁屏	
我永远喜欢Chtholly丶,1,五星好评，分期付款！[吃瓜]	
G魏胖胖P,1,感谢钉钉把我生物钟调了回来[tv_doge]	
风牵月,1,行了行了  我爱钉钉[doge]	
哑道人,1,加个防沉迷，直播45分钟禁止10分钟，满2小时禁止22小时[tv_doge]	
加尔-,1,用不到你呀，但是不能阻止我去评了一个一星，毕竟要把风气掰回来[阴险]	
一棵小草,1,恕我直言，在坐的官方，等级都没我高[阴险]	
DesertRosex,1,你看又疯了一个客服[妙啊]	
一棵小草,1,这里的评论太逗了，哈哈哈(?ω?)hiahiahia	
那一抹旧城笑,1,好的	
噢买尬的哈利路亚,1,你太难了，但毕竟他们还是孩子啊[doge]	
大Z昵称长不了,1,虽然我们公司没用这个软件，但请加大力度（指1星），因为宁软件的现状不就是压榨员工个人自由的吗	
会飞的苜蓿,1,这产品价值观有问题，各位同学等毕业工作了就知道了	
_阿涵,1,我居然觉得有点可爱是怎么回事[热词系列_秀]	
四叶小可爱w,1,网易云gkd[doge][doge]	
泰温_兰尼斯特,1,有一说一，没有这些网上上课软件，咱们的暑假估计更没有了[喜极而泣]	
橘子甘甜心味,1,这速度比隔壁班会议快多了[无语]	
YEJFJTSG,1,下次一定，下次一定！[doge][doge][doge]	
阿铭是阿宅,1,"逆子！！！
[滑稽]	"
再看我就把你喝掉哟,1,虽然好听，但是一星没得商量	
昏沉时,1,越听越上头的，到这里集合	
阿铭是阿宅,1,"五星满肯定的
我知道的就是打五个一星嘛    确信.JPG
[doge]	"
阿泽想学习,1,但是！我拒绝！	
我有我的信仰,1,史上最惨认证官方[喜极而泣][喜极而泣]一星有我的一份 理由：定位太准了	
作-业,1,您的五星分期付款已经到账[吃瓜]	
你干哈嘛,1,没得，我已经一星了。	
二米家的十河,1,看我现在在做作业，你懂的	
污璃要努力,1,我们用了爱学，ewt，钉钉，小打卡，班级小管家，对不起，五星分期付款，我也不想的	
后来者橘上,1,我这就去五星好评（分期付款）	
喜欢猫的咸鱼,1,放心，我又不用钉钉为了那些爱学习的孩子我果断给了五星	
猫曰赞美太阳,1,下次一定	
咕咕孤alter,1,行，我现在给你一个给他爱的??????????最高通缉[doge]	
撩妹Q,1,一个钉俩[吃瓜]	
Clair_de_Luneh,1,华为已经0星了[doge][doge][doge]	
时光不改故人心2,1,"各位知不知道，软件评分最少一星对吧？
那天，我正看着一星评寻乐呢[吃瓜]。
然后，出大问题。
有一个评论直接零星，还说：
老子开修改器，一星都不给你
[笑哭][笑哭]	"
土拨鼠米洛,1,在吗，来个mp3版本我就去给你打五星好评	
农药给了联萌,1,五星是不可能五星，这辈子都不可能五星，钉钉里面又没有友仔玩，讲课的老师说话也不好听。b站的感觉比钉钉好多了，里面评论的老哥各个都是人才。	
农药给了联萌,1,五星是不可能五星，这辈子都不可能五星，钉钉里面又没有友仔玩，讲课的老师说话也不好听。b站的感觉比钉钉好多了，里面评论的老哥各个都是人才。	
_声微_饭否_,1,钉钉确实惨 免费供学生使用已经挺好挺有社会责任感了 还被疯狂打一星	
午夜M无情,1,听见开头的声音就一阵恼火，就那个叮铃铃的提示音，在公司那会这声音可以算得上是刑场上行刑官牌子落地的声音，突然想起那个用修改器打0分的人[笑哭][笑哭]	
彩虹菌666,1,继续一星，莫的商量[热词系列_锤]	
Jo救护车,1,我会给五星好评（分期）	
你就宠ta吧,1,你还小，叫淘宝和支付宝出来和我们聊[doge]	
这花生有毒,1,不知道你们发现没有，现在好多2级公号[抠鼻]欺负要趁早啊！！！[阴险]	
言困睡不醒,1,我们不用钉钉，我快乐看戏【？】	
是小可爱sunshine呀,1,其实吧，学习通的评分才是最低的吧[嫌弃]昨天都崩上热搜了（华为1. 2分）（对的，我在用[无语]）	
Pi_Guai,1,哈哈哈哈，看把人家钉钉逼的，我要笑死了，虽然说不用钉钉，但是去下一个给个五星了，太惨了哈哈哈	
大罐Chara,1,oppo区1.3上到1.9了，钉钉你买了多少水军啊([热词系列_知识增加])	
上上进,1,太上头了，五星安排，研发人员辛苦了(≧?≦)/	
大哥今天迟到了吗,1,瞅给人孩子逼得，哎[大笑][大笑][大笑]	
二の魂,1,听了这首求饶歌，我痛哭流涕，这么残忍还是人吗？！！想起了被日报支配的恐惧，我擦干眼泪立刻跑去一星好评了。一星好评，你值得拥有！	
华凌晏,1,"可爱，上头[大笑]
建议上架音乐平台，我要单曲循环到开学前[滑稽]	"
理肝乃剑生,1,专门安装了，给了个五星好评。	
白井0801,1,哈哈哈哈一键三连，那些孩子再过几年就发现，阿里他香啊，万一阿里的账单不给他们分期，天道好轮回[偷笑][偷笑]	
终焉の龙皇,1,"好吧，我不五星分期了
我用修改器改零星[doge]	"
俄尔甫斯,1,最nb的是我们上网课的时间还要用我们的周末和暑假来补[微笑]	
曺圭贤原地跟我结婚,1,放心钉钉，我对你的五星都一次付清的，因为我在学习通	
亦雨心辰,1,大家饶过它吧！回想一下原因其实它也是无辜躺枪，至于啥原因大家都懂，别怪软件	
捕捉ai的小游戏,1,?[妙啊]	
LRVINGGGGG,1,看了视频之后我很可怜钉钉，但是晚上我们也要用钉钉了[吓]，所以我也决定五星分期好评了[doge][doge][doge]	
ラップランド-,1,读书吧做题吧，做烦了做疯就把书扔了，冷静一会再捡回来继续看吧。周而复始 这就是简单枯燥的学习。为了能封住那些三姑六婆的嘴，为了自己十年后不后悔，为了老妈鬓上出现的白发，为了老爸应酬时被酒灌坏的胃。	
葉月香奈恵,1,脑残学生滚远点	
songnaizi,1,钉钉，真可爱。哈哈哈，三连走起[调皮]	
沙咔拉咖,1,做梦[妙啊]	
橘子阿衣,1,好魔性，我听了五次了	
少儿编程小江老师,1,让一让，让我上一楼[酸了]我要上一楼跟钉钉讲，现在有上百个企鹅群叫“反钉钉联盟”[偷笑]怕了吧[滑稽]	
鄉邨喵,1,我上课不用这个，要不下载一下打一星，满足你？	
斯塔克工業实习生,1,太难听了，一星[doge][doge][doge]	
凡凡其麦,1,哈哈哈哈哈哈，尽情遭受社会的毒打吧！你们这些不知愁滋味的学生，我们社畜可是一年365天都要被毒害的	
肉陷,1,腾讯会议：危！	
云溪缈,1,[滑稽]我去赏个五星好评	
Fixedstar1997,1,你能爬吗？	
白一无二,1,你发到网易云就有的商量[偷笑]（其实我给过五星，钉钉着实我是上两个星期网课以来用的比较顺心的APP了）	
MOIUC龙队,1,在吗？我想再找4个人凑个AA制[doge]	
比比皿,1,"引用一句话
“我觉得你打差评有你的理由，那就足够了”
这波公关真是有够漂亮呢[微笑]	"
鄉邨喵,1,震惊！阿里巴巴旗下软件竟然没钱充会员？	
伊莉雅真是太棒了,1,我见过一个狼焱老哥用修改器改成零星[滑稽]	
味噌汤0v0,1,没网课的我就看看[吃瓜][吃瓜]	
泡果茶壶,1,性感蝙…（黑）雁，（企）鹅 在线求饶[小电视_汗]	
_薇尔莉特丶伊芙加登_,1,我们五人aa制一次付清，不用谢我	
君呖呖,1,发到网易云嘛[惊喜][惊喜]	
心猿意马皆是你,1,钉钉是什么直播软件，让女主播穿黑丝跳个舞都不成，还威胁我说要开除我？？？	
七弦亦梦,1,唱歌的小姐姐交出来就给五星好评	
Mad川崎,1,我看的非常感动并在应用市场打了一星[妙啊]	
小雨旧梦,1,看到评论区这么多官方号等级没我高先嘚瑟一下[蛆音娘_滑稽]	
几点为我祭奠,1,没事，多我一个一星应该没什么大问题[微笑]	
GodHand_GH,1,好的，下次一钉	
仅仅是晚风而已,1,钉钉其实本意是想做一个线上办公软件，不是什么学习软件所以不要乱打一星了钉钉也不容易[笑哭]	
守护苗苗的座上君,1,好吧 给你个4星 还好我没网课 但是平时要签到还是挺烦的 就给4星吧	
柏于阿苏,1,AV88651718[doge][doge]	
D东小华,1,钉钉想帮助我，我说下次一钉( ′_ゝ｀)	
Alwaysjmx,1,我打了5星，不跟风呢[呲牙][微笑][微笑]	
伍仟OOO,1,不如我们各退一步，你把老师的号全封了，我给你五星。[doge][doge][doge][doge]	
-青桔柠檬,1,好说，好说，反正我假期根本不上网课。哈哈[偷笑][偷笑]	
控妹然突癖性,1,来来来，把头伸过来，我给你加个史诗级buff[doge]	
萝莉结缘神乃乃子,1,我们来玩一个游戏趴 ，从现在开始一个小女孩降生了，一层就是一年，她的命运如何，就交给各位秀儿啦。我先来：1岁小女孩进入了早教班	
千稽散人,1,等等 他喊我爸爸 他大哥是支付宝那我。。。去特喵花呗老子不还了[妙啊]	
B1ank000,1,虽然我不用，但是分期付款是少不了的了，一路走好，钉钉	
垃圾分类小能手,1,就特么你叫钉钉啊	
太阳太太太耀眼,1,三连了，五星就下次了[tv_doge]	
丶橙咏,1,更牛的是，下面的热评全塔喵是官方号[笑哭]	
鹿比小察,1,归根结底，[doge]还是得从一只蝙蝠说起……	
浮生丿一梦,1,人才作词家，发现好多比我等级还低的官方哈哈哈哈[妙啊]	
活着レ,1,今天没下雨 差评[吃瓜]	
biIibiIil乾杯,1,我就不明白了，自己不学关人家软件什么事，要是这样的话，那微信还让我钱花没了呢是不是也要一星差评?上了这么多年学真是白上了，己所不欲勿施于人都没整明白	
安然云端,1,幸好我们不用，我们五门课用中国大学，腾讯课堂，学习通，优慕课上。我头晕[大哭]	
DN菌,1,立刻拆了摄像头打卡作业布置我就相信你有良心[tv_生气]	
丶橙咏,1,被迫营业的钉娘[笑哭]	
大W的幻想,1,哈哈哈，官方被迫营业[doge]	
言徵-,1,woc，评论区这么多大佬？	
今天也是小可爱y,1,告诉大家一个秘密，用修改器可以打零星	
零三遛玖,1,钉钉太好了 超级赞 我给的不是一星 是六星溢出来的那颗	
晚风踩着云W,1,我去给你打五星好评，反正我们大二上网课不用你[妙啊]	
Noc7is,1,既然道歉了就给两颗星星吧[妙啊]	
一只米溜,1,爱奇艺崩了韩剧TV崩了芒果TV崩了你怎么还不崩了[嫌弃]	
最萌骸音酱,1,我已经被钉钉这个毒瘤软件摧残了快两年了，简直大快人心，大力1星好评不要停	
废鲨鲨鲨鲨,1,五星好评回来啦——！！！钉钉好可爱！！！！！	
曦L黎黎黎,1,没上网课，没去评分，嘿嘿	
原神忠实粉丝,1,"《你钉起来真好听》

想在冬天钻被窝
想要熬夜看小说
不料网课作业多
有苦没法说
延迟假期可不少
每日打卡逃不掉
老师看学生列表
就我在傻笑

你钉起来真好听 特别像午夜凶铃
像我专心学习 大妈在广场 放凤凰传奇
你钉起来真好听 像指甲抠墙壁
像我步行 遇到搅拌机 溅我一脸泥
你钉起来真好听 像满清十大酷刑
而我像白居易 要远征维京 秀才遇到兵
你钉起来真好听 像唐僧在念经
像首老歌 把我埋在 遗失的水域
你钉起来真好听 像玩死歌没CD
像我要看电影 抬头一行字 导演郭敬明
你钉起来真好听 像半夜看闪灵
整个世界 有你的鼓励 都关闭手机

建议大家都给个五星
分五次还清	"
闲阿凡,1,前来欺负2级号[妙啊]	
黄头菠萝,1,我特地去下了个钉钉，就为了打个五星，不用上网课的人无所畏惧嘻嘻	
空灬白灬华,1,唉，钉钉加油啊，我们学校没选中你却选中了umu互动，它比你惨，不能直播，还卡，得排队，一定要加油啊，我们把它刷下去就来找你了，欸嘿嘿嘿嘿嘿嘿[滑稽][滑稽][滑稽]	
挽星海,1,学习通的bug能不能出歌	
WuWu虾,1,马云爸爸呢？我觉得叫支付宝来说这事就好解决	
战术快递,1,你说你一个好好的官方视频做的这么好在B站上混口饭吃不行吗，做什么钉钉[妙啊]	
Thanatos_XH,1,诶，不是说要拿暑假时间来充现在放掉的时间吗？那就只要搞一下毕业班就好了，何必呢，钉钉这么可爱	
晏长临,1,这歌真是可爱又上头[doge]	
A木有菌,1,其实钉钉比其他平台好啊……你们看看学习堵，就他妈一直崩	
修仙巨佬,1,为什么我越听越快乐？	
痕迹在此,1,观看直播时长显示出了点问题，害我被老师骂死，还各种罚抄[捂脸]	
-Siri时,1,你这逆子！！！[笑哭]	
千彰不可以,1,下载了已五星，请问三多哪里领[喜欢][喜欢]	
前灯塔国总统特朗普,1,有个哥们直接用修改器打了零星[热词系列_知识增加]	
橙子味的洛江,1,为什么没有青少年模式？？？？？？？？？？？？？？？？？？？？？	
丝瓜与爆头,1,钉钉好就好在我不用它上网课[笑哭]	
穹风飘呀飘,1,为什么热评都是清一色的蓝色闪电[tv_思考]	
再放送Mutan,1,@钉钉DingTalk  亲这位可怜的官方可以靠多出几首这样的歌吃饭诶[doge]     （我是名初三学生，上午看这个视频的时候被这个旋律迷住了太棒了）	
快乐巴尔坦,1,地球的兄弟们!我们巴尔坦星人诚挚的代表我们星球与你们共同奋斗，所以，五星已给，分五次付完	
代号__9527__,1,一个视频炸出多少官方号[笑哭][笑哭]	
兰兰螳fa,1,最最最最最最惨官方没有之一[吃瓜]	
凌墨染w,1,求音频啊，快来个大佬，嘤嘤嘤	
巛彼岸花忄,1,好听，钉钉以后唱歌吧	
长隅烿,1,网课里我唯唯诺诺，应用商店中我重拳出击（中小学生现状）	
宁安安v,1,刻意打一星你以为你就逃得上课了？	
敲可爱的雨落京城,1,其实简单的很。朝九晚五之内（工作日的工作时间内）应用该干嘛干嘛。朝九晚五之外和双休日（意思就是节假日），还拿着钉钉要你工作/学习这就不对了吧|?ω?｀)加个节假日系统不就一切解决了。大不了多一个加班系统来处理紧急事件。锅甩给tx多好啊	
佛系古木QAQ,1,再苦不能苦孩子，再穷不能穷教育！特意下载给个?????	
取个好ID的重要性,1,下次一钉[微笑]	
一定要当个five,1,修改器我下好了。	
rui魉,1,@洋葱学院@云课堂-智慧职教@**教育云@小鱼易连@天学网@学而思网校@掌门1对1辅导@网易云课堂@腾讯课堂                  给我也整一个[热词系列_吹爆][热词系列_三连]	
装逼男与小学生,1,问为什么分期，去问支付宝吧[热词系列_知识增加]	
天缘故意,1,谁能把脚本给我，我一星都不想吃，别问为什么，问就是这花呗都这么大了不会自己还钱。	
大帅蛋儿,1,上头了，快毕业的闲人专门去给你们刷了五星	
AnKun---安鲲,1,加油！你已经从我软件商店里从1.3星升到1.9星了！[热词系列_知识增加]	
??,1,出不去了 钉三多[妙啊]	
深蓝夜灯,1,好视频，我三连了!什么什么⊙?⊙？不要三连要五星好评？那啥，我还有课，下次一定嗷！	
Lucky丶实习生,1,只要你穿二次元露脸跳舞，我就五星并且三连	
就叫我老司机,1,好了好了，马上就去找个修改器给你个五星好评（五个空白星）[阴险]	
就叫我老司机,1,好了好了，马上就去找个修改器给你个五星好评（五个空白星）[阴险]	
我的冰镇,1,我想说。。好可爱啊！！	
博古诺,1,五星好评必须分期！！！	
利蒙特,1,就我在纠结bgm吗[doge][doge]	
汇爷是妹子,1,上班狗这两天打卡不用刷脸假笑好开心，你们可不可以把微笑打分改成啥猜猜你今天心情啊，假笑很累的！！	
-向葵-,1,在？什么时候加个打赏功能，我想给老师打赏都打不了[doge]	
93仔,1,可怜钉钉倒不至于，就是可怜那些刷一星的学生	
希望梦星时,1,"★☆☆☆☆
这软件真棒啊	"
bili_69791003826,1,太洗脑了，下载了	
??,1,下次一钉[doge]	
就想改个昵称的安琪拉,1,贼鸡儿可爱，五星下次给	
77615377655_bili,1,这个是什么垃圾视频？wdnmd这个视频也就只得了我个赞，还有两个币而已。[doge][doge][doge]	
Bill_Blue,1,哈哈哈哈哈，这是官方吗	
纯良少女菊花酱゜,1,钉钉我也没有办法硬币只能投一次，要不我都多投几个了（xswl，xswl，xswl）嗯嗯我是受过专业训练的，除非忍不住（xswl，xswl，xswl）[蛆音娘_滑稽][蛆音娘_大笑][蛆音娘_大笑][蛆音娘_大笑]	
22娘33娘的哥哥,1,你好，我给了五星，再见	
HelloXZX,1,哈哈声优声音好可爱	
宫水檎です,1,只是停课不停学下面用的工具而已，这个工具没了还有其他的，老师也不习惯上网课，但没办法，谁让疫情来了，害，不评分就是了，没必要给个一分真的。[蛆音娘_无语]	
我的Aphrodite,1,资本家的工具罢了	
淅淅雨夏,1,惨，五星好评安排了（抱拳了老铁）	
北埏kop,1,等级低，欺负一下，去打五星[吃瓜]	
普通の宅,1,这里都是小闪电?!吓到我了	
灵异_Ly,1,在这里面简直就是官方账号的宝藏地啊	
江山易推倒,1,我想分期五星[偷笑][偷笑][偷笑][偷笑]	
青山月子w,1,已五分 [吃瓜] 就想让祖国的花朵好好学习	
流落的寂寞,1,纯路人，刚进站，这就是二次元嘛，爱了爱了	
酥酥脆鱼饼,1,"?????五星
好了，只在小破站打星[吃瓜][doge]	"
永小亘,1,珍惜比钉钉等级高的日子	
热心市民五河士织,1,此生无悔用钉钉，分期付款五颗星[蛆音娘_滑稽]	
文具盒里的彩色星空,1,我特么心态崩了呀	
玄冥不可量,1,放心，一星多得让你刷都刷不回来[阴险][阴险][阴险]	
什么时候能六级,1,评论区神仙打架，可否有我一席之地[热词系列_我酸了][doge]	
呆呆超人喵,1,腾讯课堂和腾讯会议怎么没这态度[微笑]	
符号军,1,能添加个刷火箭??的功能嘛 我想混个班长当当[doge]	
Erickek,1,感觉嘛[doge]。。。钉钉除了界面脏乱，直播质量和稳定性还蛮好的，相较于某些整天下雨的app[妙啊]	
忽悠萌,1,[蛆音娘_吃瓜群众]别唱了，一星都不会给你，只能给你个赞和硬币。2333	
无敌肉憨憨,1,换个角度想想，越多人分期付五星，说明越多校领导认可你啊。[doge]	
言狼,1,这评论区都是群什么玩意[捂脸]	
子非我-安知我之心,1,"每人给我一块钱=我成为土豪
同理
每人给钉钉一星=最火的APP
[热词系列_知识增加]	"
銀鏤,1,怎么热评都是官方号233333	
Chara_______,1,看完这个视频我热泪盈眶的点开应用商店搜索钉钉，反手就是一个一星	
KRLL苦人烂乐,1,"原来这个软件那么可怜[委屈]，我要给你五……

Ding~

星分期付款[支持]	"
真的不会起名啊啊,1,我一星都不给你[滑稽]	
喵君临天下,1,你咋长得嫩像蝙蝠[doge][doge]	
_慕妍妍啦_,1,精神污染啊！！！！！！！！！！！！！！！[蛆音娘_哭泣]	
杜清怡风,1,些生被迫下钉钉，五星好评分期付。	
老粤利粤了,1,??????????好啦五星好评（	
黄桃馒头,1,大家不要给他投币，不然他又有钱去做钉钉了[妙啊]。	
特惡兔,1,好惨呜呜呜	
柏氕氘,1,下次一定	
御坂11314号,1,[大笑]你只要回复我一下，我立刻拿起我的五个手机给你五个五星好评[大笑][大笑][大笑][大笑]	
今天吃米饭了嘛,1,虽然我用学习通（某通系统经常崩，好不容易打字到一半的作业一返回就清空），但是看在你这么可爱乖巧努力的份上，还是去下载一个钉钉评分叭！害！我果然是馋你身子，你三连五星有了	
今朔雨風,1,真糟糕呢，态度端正但是没有用啊，该分期还是得分期，除非我的花呗[呲牙][呲牙]	
偷钢铁的斯蒂尔,1,很感人，缺自刷员吗？去你们公司上个班	
懒人宅难,1,[阴险]你这个钉钉是真的盯盯，洗头这个太惨了哈哈哈[doge]	
小小小卡哇伊桑,1,这里没有用b站上课的学校嘛？	
黑桦-_-,1,大学狗笑而不语[妙啊]	
紫菜猫猫头卷,1,怎么说呢，，其实作为高三党还是上课踏实，毕竟高考几乎不可能改期的，毕竟关乎人生大事，不敢懈怠	
佐膏丸腾,1,为什么我们会待在家？这一切都要从一个蝙蝠开始	
似盼辰钩月-,1,哈哈哈哈哈哈好可爱	
醉倚清风听雨柔,1,"别喊爸爸了，不然 父 慈 子 孝 ?
（五星好评给了[tv_白眼]）	"
棠桔木木,1,怎么说，虽然我们学校不用钉钉，但是看到你们这样真的很好笑，刚刚去看了一下评分，已经两分了[喜极而泣][喜极而泣]	
地铁站下的WIFI,1,标签有祖安就尼玛离谱[吃瓜][吃瓜][滑稽]	
糍粑糖醋里脊,1,网易云上线了吗[微笑]	
我是你的荣耀,1,哎，用钉钉上课的我，只能投币补救你了，因为就算我现在去改给你，说不定等下我上课烦了又给你改回去了。	
小槟哥,1,最近还有用修改器改投0星的[呲牙]	
蘐im,1,你的粉丝有多少，你的一星就有多少??	
树叶的香味5,1,视频可以三连，但是星实在不多啊，一天只有一个啊[滑稽]	
风铃冉韵,1,害！搞得我都感动了！刚想去打五星，忘了学校用的什雨课堂[doge]	
梧桐槐啊,1,我们不用钉钉（哭）	
白鱼小梦佬,1,"星 星 星 星 星
这里有个老实人，我们快打他
[奸笑]	"
骚年学习吗,1,钉钉爸爸也太多了吧[doge]	
TLW_bilibili,1,这可能是最多人用的一星软件了[妙啊]	
浅尝丶悲叹,1,2020.2.17，俺也开始网课了，没错，一星，不能再多了[呲牙][呲牙][呲牙][呲牙][呲牙]	
