姓名,点赞数,评论内容,评论时间
孚世研香,1,把妹子交出来	,2020-02-27 02:07:14
雨女勿挂,1,精       神       感       染	,2020-02-27 01:59:56
你好-sao啊,1,钉钉疯了[doge]	,2020-02-27 00:54:47
逍遥泠然c,1,新人都是怪物	,2020-02-27 00:02:48
安逸Comfortable,1,我真是醉了，那些只给1星的 ，你们都不好好想想，切，学学我，不就五星吗？呃，分期付[滑稽][doge]	,2020-02-26 23:50:08
香草味拿铁,1,[笑哭][笑哭]笑哭了，被五星好评弄疯的钉钉	,2020-02-26 23:49:46
来风_HI,1,你已经进入地狱，钉钉没做错什么，要怪你去怪教育局啊！把你判个无期徒刑或死刑更好	,2020-02-26 23:37:44
过节注册个账号,1,钉钉娘也搞个VUP出道可能就不那么招狠了[doge]	,2020-02-26 23:36:50
过节注册个账号,1,文艺复钉[无语]	,2020-02-26 23:34:21
蝶梦研舍,1,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈全靠发歌挣五星，太太太太太可爱了！！！	,2020-02-26 23:30:00
木米唐,1,又疯了一个	,2020-02-26 23:21:08
TowerSire,1,五星全靠发歌宣传，太惨了	,2020-02-26 23:18:14
旧城时光那么美-,1,每天一刷	,2020-02-26 22:55:24
南吕早橘,1,我等到最后就是为了看看除了 钉还有没有别的词，结果，我白期待了[doge]	,2020-02-26 22:15:34
Mr永兴,1,有一说一，钉钉的提示音蛮好听的	,2020-02-26 22:14:16
雨黎JUN,1,一人血书求音频[鸡腿]	,2020-02-26 21:47:45
海浪君,1,钉钉的市场部今年年终奖怕是要爆[大笑]	,2020-02-26 21:12:34
龖龘饕籲,1,这只蝙蝠怎么了？[doge]	,2020-02-26 19:29:13
Accelerator--_--,1,钉钉还是更适合鬼畜区[吃瓜]	,2020-02-26 19:26:51
纵论天下2021,1,网友大量五星好评分期付款，终于成功逼疯官方[doge]	,2020-02-26 19:11:05
RIf卡布奇诺,1,歌词，钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉	,2020-02-26 18:44:39
谢墨痕,1,刚看完这个甩钉歌，下一秒我的钉钉就响了[热词系列_知识增加]	,2020-02-26 18:22:06
Afterglow_惹,1,记住我是10星分两次付的哦	,2020-02-26 18:06:12
退化的签字笔,1,奇怪的官方增加了[热词系列_知识增加]	,2020-02-26 17:41:24
水滑梯2333,1,甩钉钉	,2020-02-26 17:36:25
奶油小汤圆,1,"歌词：
钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉	",2020-02-26 17:33:54
迷柚-,1,今天早上把手机放桌子上硬生生提示音能把我吵醒，钉钉提示音穿透力好强[doge][doge][doge]	,2020-02-26 16:31:57
大仙鹅233,1,你给我一星，我扔你一钉[doge]	,2020-02-26 15:47:52
五十Hz鲸鱼,1,好奇怪这就是2级号的威力吗？	,2020-02-26 15:15:30
初夏多可爱吖,1,少了两个钉差评。	,2020-02-26 15:01:00
小菜菜籽_啾咪,1,笑死	,2020-02-26 14:49:35
章鱼小丸子2017,1,求出音频做闹铃[doge]	,2020-02-26 14:00:05
40125041860_bili,1,"真正的穷人啊,给个五星都得找另外4个人众筹!--马爸爸听说后留下感动的泪水!	",2020-02-26 13:13:28
姝淼,1,我当时害怕极了	,2020-02-26 13:05:36
汐隙__凑字数,1,甩钉（ding）歌？？？？？？？？？？[热词系列_知识增加]	,2020-02-26 12:19:05
Lovely沐离霜,1,笑死我了[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加][热词系列_你细品][热词系列_有内味了]	,2020-02-26 11:41:32
两只厷梦溪,1,官方鬼畜	,2020-02-26 11:40:49
玄ガ白,1,害怕	,2020-02-26 11:21:36
小安世界,1,这么好的软件怎么能五星分期呢，当然是要一次付清啊（反正我不用钉钉  就问你气不气）[doge][doge][妙啊]	,2020-02-26 10:51:34
小黑屋使者,1,感觉上百大有望啊	,2020-02-26 10:14:52
其实面包没有错,1,兄弟萌，把害怕打在屏幕上	,2020-02-26 08:02:26
Bilibili榨汁姬,1,大家别上当了，这只一只伪装成乌鸦的黑蝙蝠[口罩]	,2020-02-26 05:00:43
雷焰逖斯,1,我从钉某人一万粉丝看到它暴涨到42万，而且还有上涨趋势	,2020-02-26 03:12:14
冲冲冲鸭乌拉,1,师傅别念了，别念了~	,2020-02-26 02:57:59
咯可怕的,1,吓得我去狂刷五星了，不过……分期而以，相信钉钉不会在意的[滑稽][滑稽][滑稽]	,2020-02-26 01:45:57
elevator-FG457,1,[tv_目瞪口呆][tv_目瞪口呆][tv_目瞪口呆][tv_目瞪口呆]	,2020-02-26 00:05:55
真名_,1,爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬爬	,2020-02-25 22:58:24
某灵梦的日常,1,你深井冰啊	,2020-02-25 22:09:25
贤某人xmr,1,害怕??[口罩]	,2020-02-25 22:05:17
溯流而上也,1,钉钉小可爱，爸爸来了	,2020-02-25 21:19:29
悬天斜地,1,你又来整活	,2020-02-25 21:08:49
Cardoom,1,钉你女馬呢?	,2020-02-25 21:01:51
Loveless__,1,那是我害怕极了[囧][囧][囧][灵魂出窍][灵魂出窍][灵魂出窍]……再可爱也不掩饰你可恨的面目，逆子！！[抠鼻][抠鼻][抠鼻][抠鼻]	,2020-02-25 20:28:09
小泥巴带队吃鸡,1,初音未来:我裂开了	,2020-02-25 20:18:30
纸液玩家,1,好大一蝙蝠[doge]	,2020-02-25 19:45:38
r木然,1,看你们如此痛苦，我还庆幸我们老师不给我们用钉钉，还在偷笑之中，结果今天一打开微信，老师就让我们下载钉钉！！！！[笑哭][笑哭][笑哭][笑哭][笑哭]	,2020-02-25 19:36:58
乾坤小馄饨,1,怎么说呢 钉钉可能是传播最快 被接受最快的办公软件了 而且官方这么会搞事也是把这个人人讨厌（学生讨厌）的软件进一步送上了大舞台（社会）	,2020-02-25 19:28:54
风景次方,1,哈哈，做app委屈你了，当up吧[doge]	,2020-02-25 19:16:11
吼啦酱,1,要不，你别干了[doge]当up⑧	,2020-02-25 18:56:53
柃鹿SAMA,1,把它当手机铃声怎么样[OK]	,2020-02-25 18:38:33
最猫,1,开门，钉钉同志请跟我们走一趟，现在有关部门怀疑这首歌涉黄[2233娘_耶]	,2020-02-25 18:38:23
天上有羔羊,1,学生要减负！！！而不是占用暑假时间上课！	,2020-02-25 18:28:04
椿日野征集,1,害怕。	,2020-02-25 18:07:49
是随便丫,1,建议做一个狂妄之钉	,2020-02-25 17:13:01
秋名山别姬,1,来报复你们5星分期了	,2020-02-25 17:06:35
稻草草草草草人,1,这就是2级号吗？害怕了	,2020-02-25 17:05:22
长孙不二,1,建议你们阿里集团准备入侵B站之前最好先把微博收拾了	,2020-02-25 16:56:44
我是机器人我就不说话,1,全班AA平摊5颗星，四舍五入，所有人都得开修改器打0星[tv_doge]	,2020-02-25 16:50:13
讨厌吃苦瓜的小天使,1,我爱钉钉！（	,2020-02-25 16:34:47
醉绵羊,1,给??爬	,2020-02-25 16:18:39
旅人的眼睛,1,还以为是唢呐，仔细一看是钉子……	,2020-02-25 16:16:57
大锤不是斧头,1,只要我们一直一星，是不是就可以一直看钉钉鬼畜[吃瓜]	,2020-02-25 16:14:34
二两二两二两两,1,群蝠乱舞	,2020-02-25 16:10:49
早坂绫,1,"完蛋了，这个dingding更新比好多鸽子都勤，看来不上今年百大up是对不起它了[OK]
顺便一提还挺好听，关注了。	",2020-02-25 15:58:58
谙卿jam,1,钉钉入住鬼畜区了吗	,2020-02-25 15:52:59
萌新流星大大,1,"正常倍速（错）
2.0倍速  （对）	",2020-02-25 15:50:45
Yuki小优,1,害怕	,2020-02-25 15:50:05
DEfishL,1,我工作一下午，听这个钉钉钉钉了一下午，所以我觉得还是五星分期钉一下[OK]	,2020-02-25 15:49:17
一万只皮卡丘-,1,"《钉钉之错，错在价值观》
文章链接：https://mp.weixin.qq.com/s/IlSKzQMcCQyzlI7GplsYsQ	",2020-02-25 15:35:27
穷奇QVQ,1,黑鸟阿蝠	,2020-02-25 15:31:10
乌七八拉,1,你不要过来啊[热词系列_知识增加]	,2020-02-25 15:24:34
止痛药异闻录,1,加油，争取再出几个作品，然后粉丝超过阿里爸爸	,2020-02-25 15:07:27
东百生,1,我们愿意将这种情况称之为，钉忧[doge][doge][doge]	,2020-02-25 14:51:36
荡家君,1,歌词:叮叮叮叮叮叮叮叮叮钉钉	,2020-02-25 14:36:50
冬冥Luncot,1,钉钉钉钉OwO	,2020-02-25 13:54:38
雨-点,1,[热词系列_知识增加]	,2020-02-25 13:47:39
一只小语呀,1,"这孩子疯辽
我 卖 我 自 己[doge]	",2020-02-25 13:45:28
Tony_Official,1,yysy，一次还行，一直蹭热度就多少有点恶心了喂，等疫情过去，你还是要凉的[笑]	,2020-02-25 13:40:28
Puiyip,1,这妹子唱的几首歌都好听，要不钉钉让她出道，我保证给五星[tv_doge]	,2020-02-25 13:32:35
pig_tun,1,阿里巴巴开拓了新的业务[滑稽]	,2020-02-25 13:30:30
是十五靥呐,1,[热词系列_知识增加]	,2020-02-25 12:52:02
米兰的夏天_,1,钉钉钉 dingdingding  v. n.	,2020-02-25 12:45:25
米兰的夏天_,1,太可爱了	,2020-02-25 12:45:48
肯德基爷爷8848,1,差评！歌词少了一个钉！！！????	,2020-02-25 12:39:52
砂砂砂砂糖橘,1,娃儿啊，你做啥软件，做up得了。	,2020-02-25 12:35:26
SUPERTOM周,1,不要过来！！！我的假期不想被吞噬掉，钉，学生党已阵亡[tv_难过]	,2020-02-25 12:04:01
肝原神的憨憨羽,1,好爱这个鬼畜钉钉[tv_腼腆][tv_调侃]，但一想起你害过我，[热词系列_三连]没了，下次也不一定[妙啊]	,2020-02-25 12:02:39
熤之白,1,它们手上拿的是钉子吗	,2020-02-25 11:49:52
罗解汉说,1,"站友你好
，感谢你愿意用两分钟阅读这条信息，我是一个新人up主，想要参加了激励计划，咱们以前不认识，现在咱们就算朋友了，
av91036412

，这个视频如果可以的话，可以给个三连，当然不三连也不强求点个赞就行，如果赞都不想点我不怪你，拉个进度条，写几条评论，发几条弹幕，鼓励鼓励我就是帮我了！谢谢啦！祝您生活愉快，身体健康！！！（如果您对这条信息不感兴趣，请见谅）	",2020-02-25 11:44:43
罗解汉说,1,"站友你好
，感谢你愿意用两分钟阅读这条信息，我是一个新人up主，想要参加了激励计划，咱们以前不认识，现在咱们就算朋友了，
av91036412

，这个视频如果可以的话，可以给个三连，当然不三连也不强求点个赞就行，如果赞都不想点我不怪你，拉个进度条，写几条评论，发几条弹幕，鼓励鼓励我就是帮我了！谢谢啦！祝您生活愉快，身体健康！！！（如果您对这条信息不感兴趣，请见谅）	",2020-02-25 11:44:38
罗解汉说,1,"站友你好
，感谢你愿意用两分钟阅读这条信息，我是一个新人up主，想要参加了激励计划，咱们以前不认识，现在咱们就算朋友了，
av91036412

，这个视频如果可以的话，可以给个三连，当然不三连也不强求点个赞就行，如果赞都不想点我不怪你，拉个进度条，写几条评论，发几条弹幕，鼓励鼓励我就是帮我了！谢谢啦！祝您生活愉快，身体健康！！！（如果您对这条信息不感兴趣，请见谅）	",2020-02-25 11:44:31
Js_ck,1,钉钉发现做鬼畜up，比软件赚钱。[热词系列_奥力给]	,2020-02-25 11:36:00
地中海的喵,1,每天一遍，根本停不下来[偷笑]	,2020-02-25 11:35:06
L大哥,1,天天的就是那个声音我怕了，开个静音岂不美哉，原本一星党，现在的五星党（阿里巴巴x钉钉的cp），正好今天没作业五星再来一个？？	,2020-02-25 11:33:48
喵呜喵嗷喵啊,1,看完后不打个5星过得去吗？嗯，过得去。开玩笑啦，这就给你5星。	,2020-02-25 11:27:06
乚罒凸罒丆,1,无论怎么刷 都无法弥补几年来企业 学校被迫下载的事实	,2020-02-25 11:17:43
不二十由紀,1,这个蝙蝠钉的真好听[doge]	,2020-02-25 11:13:07
上海惠迪吉公益,1,你是不是想在B站火了之后，在B站开直播[doge]	,2020-02-25 11:10:19
垫子上垫垫子,1,最近网上老是有人问：钉钉是个什么东西。我打开电脑一查，这电脑没有联网。歪歪斜斜的每幕上都写着“钉钉”几个字，我横竖睡不着，仔细看了半夜，才从字缝里看出来，满屏上都写着两个字“打卡&#34;！	,2020-02-25 10:40:32
桌上的橘子呢,1,你不说我以为甩那个[滑稽]	,2020-02-25 10:39:17
天月底蕴,1,长妈妈曾经讲给我一个故事听:先前，有一个小学生住在古庙里用功，晚间，在院子里打王者的时候，突然听到软件在叮叮叫。答应着，打卡时，却见一个蝙蝠的脸露在墙头上，向他一笑，隐去了。他很高兴;但竟给那走来夜谈的老和尚识破了机关。说他脸上有些妖气，一定遇见“美女钉”了;这是蝙蝠首燕子身的怪物，能唤叮叮，倘一打卡，夜间便要来布置作业给这个人。他自然吓得要死，而那老和尚却道无妨，给他一个小盒子，说只要放在枕边，便可高枕而卧。他虽然照样办，却总是睡不着，——当然睡不着的，因为作业太多。到半夜，果然来了，沙沙沙!门外象是风雨声。他正抖作一团时，却听得豁的一声，一颗金星从枕边飞出，外面便什么声音也没有了，那金星也就飞回来，敛在盒子里。后来呢?后来，老和尚说，这是五星分期，它能吸蝙蝠的脑髓，美女钉就被它治死了。	,2020-02-25 10:38:47
杨癫痫小队长,1,午夜钉铃[热词系列_知识增加]	,2020-02-25 09:55:23
闲烹山茗,1,二级号整活，必须要欺负一下，只给一个硬币[doge]	,2020-02-25 09:51:24
岁月满星,1,可惜可惜！不能0星![热词系列_知识增加][热词系列_知识增加]	,2020-02-25 09:30:12
Kaede_1756,1,都让开都让开，让我上去，现在它还是个二级号，还能欺负一下[吃瓜]	,2020-02-25 09:22:00
绝望神域,1,我给你五星了，才不是因为我们学校不用钉钉的原因[OK]	,2020-02-25 09:18:25
流星过雨夜,1,钉钉招到宝了	,2020-02-25 09:16:26
印度托马斯,1,这个二级号有东西	,2020-02-25 09:08:56
yfv-tj,1,我的天，这么短时间就40万粉丝了[星星眼]	,2020-02-25 08:27:03
恶客来了,1,★☆☆☆☆	,2020-02-25 04:26:45
杉杉杉新田治,1,你的尾巴呢	,2020-02-25 04:17:26
红彤彤的他妈头,1,你别以为这就可以！。。。呃～好可爱！！乌鸡甩钉i了i了[爱心][吃瓜][滑稽][打call]	,2020-02-25 03:07:06
今天我嗑的cphe了吗,1,又疯……哦，是官方啊	,2020-02-25 03:06:52
淇于林虑0784,1,[惊讶]你咋还放飞自我了[囧]	,2020-02-25 02:59:39
Capcom冰原,1,你怎么还是二级号[嫌弃]	,2020-02-25 02:25:22
土豆肉丝丶盖饭,1,有一说一，这个声音我喜欢	,2020-02-25 02:13:09
阿浩胖纸,1,"你们可能不知道在家用钉钉上网课是什么概念
我们一般只会用两个字来形容这种人：学怪！

我经常说一句话，当年他小学生作文写未来在家上课，我今天0202年实现一波不是问题。
打他一个卡，这个作业不能交，这个作业不用交，交了就死定了。
反手给一个一星好评，闷声发大财。他还使劲推广？但是不用怕，他的推广赢不了五星。
打卡，网课，作业，作息，直播，很牛逼这波操作，如果把这个直播平台换成虎牙，我这把火箭将绝杀，但是换不得。
单走一个课程表，傻～b，直接把课程表送走了。  
打他一个卡顶他。钉钉快点，钉钉，钉钉你评分让我们打成渣了都不来吗？钉钉你快点下架啊！钉钉别磨磨蹭蹭的。

给钉钉发份作业好吧，钉钉给你发一份五年高考三年模拟。

给钉钉发一份五三模拟！开始你的直播秀，刷赞刷赞。漂亮！

你一个老师靠钉钉能抓到我刷b站？你能抓到我？！你今天能人赃并获抓到我！当！场！就让你把这个电脑屏幕给吃掉！！！	",2020-02-25 02:13:54
碧威浩,1,腾讯会议不让使了，明天我也要用钉钉了[热词系列_知识增加][热词系列_锤]	,2020-02-25 00:32:21
朴智旻jiminnnn,1,狠起来连自己都鬼畜nb[支持]	,2020-02-25 00:21:23
世界上的妹子并不都是软的有可能还是腐,1,好可爱哈哈哈哈哈哈[墨镜]	,2020-02-25 00:05:21
君子丶啊啊啊啊啊,1,五星好評 一次性的[热词系列_这次一定]	,2020-02-25 00:04:32
呐呐呐QAQ,1,丧 钟 为 你 而 鸣	,2020-02-25 00:00:43
逗王塔仁,1,不愧是杰哥果然比游戏还刺鸡[妙啊]	,2020-02-24 23:50:55
破碎P,1,嗯？？有本事来个鬼畜没本事加个音频版？？以为我不敢拿它当闹铃？？[嫌弃]	,2020-02-24 23:48:18
白记i,1,睡前音乐get[OK]	,2020-02-24 23:45:54
锦依卫队长-霍伊HorE,1,我觉得害挺可爱的[妙啊]	,2020-02-24 23:41:03
天方神明,1,在鬼畜的路上一去不复返[热词系列_知识增加]	,2020-02-24 23:29:26
成元芳,1,钉钉蝙蝠钉钉钉[阴险]害怕吗[吃瓜]	,2020-02-24 23:29:02
笹舟很咸,1,这是钉钉做出来的事？[哦呼][微笑][囧][囧][呆]	,2020-02-24 23:25:33
古典阿诺,1,师傅，别念了	,2020-02-24 23:17:06
xCoin丶硬币x,1,钉子：我当时害怕极了[囧]	,2020-02-24 23:16:50
晕圈的妞,1,没听完就想揍这只燕子的节奏[捂脸]	,2020-02-24 22:29:37
一打雪糕,1,贵公司这波公关洗得好啊，说是话我们只是你的用户，那些资本家才是你的客户吧。	,2020-02-24 22:17:04
帆高ai阳菜,1,心  脏  骤  停	,2020-02-24 22:16:22
wuli牛乳,1,午夜凶铃！！！	,2020-02-24 22:12:21
神奇W汪,1,鬼畜自己的官方是屑官方	,2020-02-24 21:43:20
梁月君丶,1,★☆☆☆☆[doge]	,2020-02-24 21:30:48
木瓜乱画堂,1,这个视频我打五星好评，分五次付清[doge]	,2020-02-24 21:19:45
木子米斯特,1,有音频吗？下载下载做手机铃声[热词系列_秀]	,2020-02-24 20:58:51
半灰_888,1,这娃疯了[笑哭][笑哭]	,2020-02-24 20:48:02
章氏乐,1,知到今天服务器炸了吗？修的还这么慢，作业都交不了[doge][doge][doge]	,2020-02-24 20:36:41
为何冰冰无病呻吟,1,举报了，有人高仿我[口罩]就这个up主	,2020-02-24 20:24:57
好想有钱a,1,钉钉好可爱！！，，[热词系列_AWSL]	,2020-02-24 20:05:44
黏糊糊の史莱姆桑,1,过分了[捂脸]	,2020-02-24 20:00:55
胖胖的可爱的憨憨,1,"歌词：
丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁丁	",2020-02-24 19:57:58
陌染透,1,[热词系列_知识增加]	,2020-02-24 19:48:00
魏无忌Issac,1,钉钉最终发现b站比钉钉赚钱多了[doge]	,2020-02-24 19:46:36
阳炎晴风,1,推荐AV90671873	,2020-02-24 19:43:43
旗人南野,1,好可爱	,2020-02-24 19:35:33
弈昔_MASK,1,纯黑客，以前一直听同学说b站很好，今天盗了个号来看了看，没想到刚一进入就发现了这个up的视频，这个up的视频质量是我从没见过的高。没想到，在当今这个浮躁的社会，竟然还能有人沉下心来做出一个个质量如此高的视频，泪目，白嫖了。[doge]	,2020-02-24 19:06:08
快乐的小呵呵,1,正在电脑上网课的时打开了这个视频，片头的钉钉声，卧槽......真的体会到了心脏聚停的感觉.....呜呜~吓死我了T^T	,2020-02-24 19:05:17
我懒了不想起名字,1,蝙蝠跳舞了，快跑啊！	,2020-02-24 19:04:29
小欧想要欧,1,我竟然第一次有种想要吃燕子（钉钉本体）的冲动……[doge]	,2020-02-24 18:47:46
厃楼高佰尺,1,我发现钉钉的阴谋！鬼全B站的畜，让其它鬼畜up没畜可鬼	,2020-02-24 18:42:01
prince熹,1,大钉钉之歌？？？	,2020-02-24 18:43:11
百里珩璃,1,太辛苦了，去华为给了五星[OK]	,2020-02-24 18:39:57
夏语冰喵,1,"我们是                  up的粉丝
　　/　　　       ／　｜　　＼
? ??)ノ　　　\( ???\( ???\( ???

我们喜欢             up主！
　　/　　　  ｜　    ｜　　｜
? ??)ノ　     \( ???\( ???\( ???

我们要       点赞     投币   吃up！       
　　/　　　  ｜　    ｜　　｜
? ??)ノ　     \( ???\( ???\( ???
　 ......
　　　 
?д?)?д?)?д?)　　　(???

 
对，吃up，拿刀叉来。   好啊好啊
　|　　　|　　　｜　　　　\
? ??)ノ? ??)ノ? ??)ノ　\( ???
(别让我上去，我会被up杀的)	",2020-02-24 18:37:50
云朵芥末,1,它疯狂摔钉的样子居然有点可爱（我完了）	,2020-02-24 18:37:37
金乡周树人,1,不听不听，蝙蝠念钉	,2020-02-24 18:35:13
潘木薯,1,这熟悉的旋律，我的青春又回来了[doge]	,2020-02-24 18:32:59
黎藕大大,1,午夜凶钉[doge]	,2020-02-24 18:25:24
暴风雨中的海燕,1,野钉飞舞[滑稽]	,2020-02-24 18:25:20
六号硬币,1,请问可以甩一下精准教学通吗[doge][doge][doge]	,2020-02-24 18:20:20
酥咸丶,1,你钉起来真好看，特别像午夜凶铃	,2020-02-24 18:18:35
我是卢来佛主,1,得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得	,2020-02-24 17:59:58
定信林,1,我什么时候关注鬼畜区up主了？啊，原来是钉钉[doge]	,2020-02-24 17:58:45
夜刀神我老婆是十香,1,[热词系列_知识增加]奇怪的官方增加了	,2020-02-24 17:49:11
米酒姜梨,1,我仔细翻了一下钉钉的投稿，她好像是从二月开始疯的[抠鼻][抠鼻][抠鼻][抠鼻][抠鼻]	,2020-02-24 17:45:10
晒会儿月光,1,今天要夸你，至少没崩，上网课已经够难受了呢(〒︿〒)，我把某通的?分一期打给你哈[doge]	,2020-02-24 17:32:57
兴_,1,原来钉钉是个音乐软件，爱了爱了	,2020-02-24 17:25:56
狐狸桑-,1,钉妹和宝哥还有个阿里爸爸[微笑]挨个关注的我也惊呆的	,2020-02-24 17:19:13
W厨头子浅玖,1,在？下次给nyanyanyanyanyanyanya改个版？[doge]	,2020-02-24 17:16:16
爱睡觉的小堂堂,1,妹子声音好听欸；系统铃声换成这个妹子的吧[doge]	,2020-02-24 17:14:36
斯巴达克的猫,1,有点鬼畜	,2020-02-24 17:13:10
羽沢をほどく,1,众所周知，钉钉是鬼畜区UP主[doge]	,2020-02-24 17:04:03
花Q嘿太无路赛,1,午夜凶钉[吃瓜]	,2020-02-24 17:04:49
茯苓china,1,"nb,nb[捂脸]
现在评论被封了，就算我想给你五星也给不了了	",2020-02-24 16:50:49
独有一阙,1,在？ 小姐姐声音为什么这么好听	,2020-02-24 16:38:00
花狼xxl,1,甩钉曲	,2020-02-24 16:36:15
没有未来的记忆,1,我钉钉响了[热词系列_知识增加]	,2020-02-24 16:24:34
Niko子卿,1,钉钉咋交不了作业了？我积极学习的热情啊[笑哭][笑哭][笑哭]@钉钉DingTalk	,2020-02-24 16:23:54
孙孙孙悟香,1,up主制作不易，给我点个赞吧[doge][doge]	,2020-02-24 16:17:07
TFAC-晓桀,1,★★★★★给你个通缉吧[奸笑]	,2020-02-24 16:12:33
嗲声嗲气小波罗,1,蝙蝠你怎么了[热词系列_知识增加]	,2020-02-24 16:07:43
卖菜市民梧桐,1,应该出个抽奖，从各个应用市场抽一个5分好评免还花呗[呲牙]	,2020-02-24 16:01:09
钉钉视频会议官方,1,钉钉钉钉	,2020-02-24 16:01:38
神丹尼斯,1,混的最惨的官方	,2020-02-24 15:44:56
ET--ETT,1,[热词系列_知识增加]奇怪的歌单增加了！	,2020-02-24 15:34:06
非凡baby,1,鬼畜区搞完，现在又来搞音乐区[doge]	,2020-02-24 15:31:42
啼哭郎君-_-,1,有话好说 先把手里的拔粪宝放下	,2020-02-24 15:30:15
自闭许某人,1,[热词系列_知识增加][热词系列_锤]	,2020-02-24 15:28:43
吃的ing形式,1,瘟 疫 之源[热词系列_知识增加]	,2020-02-24 15:26:51
皆忱sama,1,这一个一星对孩子造成多大的伤害你知道吗！	,2020-02-24 15:24:28
身陷囹语,1,什么时候整一首《处处钉》呀？[吃瓜]	,2020-02-24 15:15:12
茉莉花的性别,1,臭燕子，你想钉死我啊[doge]	,2020-02-24 15:12:59
許鉨Yi世歡顏,1,[笑]	,2020-02-24 15:01:05
24字装订帧,1,野原新之助小朋友前来报到AV91274608	,2020-02-24 14:45:34
伊莱喜欢黄衣吖,1,作为一名学生，我觉得，给你一星是我最后的选择(￣▽￣)	,2020-02-24 14:33:18
